hotel_name,locations,price,rating_val,rating_score,review,link
"Ramada Addis, Addis Ababa","Bole, Addis Ababa",85,Very Good,8.3,712 reviews,https://www.booking.com/hotel/et/ramada-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=178176007_98629970_2_2_0&highlighted_blocks=178176007_98629970_2_2_0&matching_block_id=178176007_98629970_2_2_0&sr_pri_blocks=178176007_98629970_2_2_0__8500&from=searchresults
Golden Tulip Addis Ababa,"Bole, Addis Ababa",104,Good,7.9,791 reviews,https://www.booking.com/hotel/et/golden-tulip-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=147932905_0_2_1_0&highlighted_blocks=147932905_0_2_1_0&matching_block_id=147932905_0_2_1_0&sr_pri_blocks=147932905_0_2_1_0__10350&from=searchresults
Skylight In-Terminal Hotel,"Bole, Addis Ababa",205,Good,7.4,643 reviews,https://www.booking.com/hotel/et/ethiopian-skylight-in-terminal.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=809696301_343150670_2_41_0&highlighted_blocks=809696301_343150670_2_41_0&matching_block_id=809696301_343150670_2_41_0&sr_pri_blocks=809696301_343150670_2_41_0__20500&from=searchresults
Cozy and comfortable,"Bole, Addis Ababa",17,N/A,N/A,N/A,https://www.booking.com/hotel/et/cozy-and-comfortable-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=1372885401_409462646_2_0_0&highlighted_blocks=1372885401_409462646_2_0_0&matching_block_id=1372885401_409462646_2_0_0&sr_pri_blocks=1372885401_409462646_2_0_0__1700&from=searchresults
"Radisson Blu Hotel, Addis Ababa","Kirkos, Addis Ababa",176,Excellent,8.7,512 reviews,https://www.booking.com/hotel/et/radisson-blu-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=73245202_87859237_2_42_0&highlighted_blocks=73245202_87859237_2_42_0&matching_block_id=73245202_87859237_2_42_0&sr_pri_blocks=73245202_87859237_2_42_0__17647&from=searchresults
Yomi Hotel,"Bole, Addis Ababa",25,Exceptional,10,1 review,https://www.booking.com/hotel/et/yomi-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=1373986601_409546677_2_0_0&highlighted_blocks=1373986601_409546677_2_0_0&matching_block_id=1373986601_409546677_2_0_0&sr_pri_blocks=1373986601_409546677_2_0_0__2500&from=searchresults
Happy guest house,"Kirkos, Addis Ababa",10,Review score,6.3,14 reviews,https://www.booking.com/hotel/et/happy-guest-house-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=1329522401_405503479_2_0_0&highlighted_blocks=1329522401_405503479_2_0_0&matching_block_id=1329522401_405503479_2_0_0&sr_pri_blocks=1329522401_405503479_2_0_0__1000&from=searchresults
"Hayes Hotel, Addis Ababa","Yeka, Addis Ababa",50,Very Good,8.5,571 reviews,https://www.booking.com/hotel/et/hayes.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=928354601_364817184_0_0_0&highlighted_blocks=928354601_364817184_0_0_0&matching_block_id=928354601_364817184_0_0_0&sr_pri_blocks=928354601_364817184_0_0_0__5040&from=searchresults
Swiss Inn Nexus Hotel,"Bole, Addis Ababa",60,Good,7.1,178 reviews,https://www.booking.com/hotel/et/nexus-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=138152402_0_2_0_0&highlighted_blocks=138152402_0_2_0_0&matching_block_id=138152402_0_2_0_0&sr_pri_blocks=138152402_0_2_0_0__6039&from=searchresults
Sapphire Addis,"Bole, Addis Ababa",72,Good,7.8,404 reviews,https://www.booking.com/hotel/et/sapphire-addis.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=233696704_100755269_0_1_0&highlighted_blocks=233696704_100755269_0_1_0&matching_block_id=233696704_100755269_0_1_0&sr_pri_blocks=233696704_100755269_0_1_0__7200&from=searchresults
Hyatt Regency Addis Ababa,"Kirkos, Addis Ababa",247,Very Good,8.4,220 reviews,https://www.booking.com/hotel/et/hyatt-regency-addis-ababa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-03-16&checkout=2025-03-17&dest_id=-603097&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=8f4d619cd85703b0&srepoch=1742046777&all_sr_blocks=447025501_350780052_2_42_0&highlighted_blocks=447025501_350780052_2_42_0&matching_block_id=447025501_350780052_2_42_0&sr_pri_blocks=447025501_350780052_2_42_0__24668&from=searchresults
