hotel_name,locations,price,rating_val,rating_score,review,distanc_main,fee_cancellation,link
Eurostars Langford,"Downtown Miami, Miami",NA,Very good,8.5,"3,464 reviews",N/A,N/A,https://www.booking.com/hotel/us/the-langford.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from_sustainable_property_sr=1&from=searchresults
La Quinta by Wyndham Miami Airport West,"Doral, Miami",NA,Good,7.8,"3,967 reviews",14.9,N/A,https://www.booking.com/hotel/us/la-quinta-miami-airport-west.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Best Western Plus Miami-Doral/Dolphin Mall,"Doral, Miami",NA,Good,7.2,"5,292 reviews",18.1,N/A,https://www.booking.com/hotel/us/best-western-miami.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Spark by Hilton Miami Doral,"Doral, Miami",NA,Good,7.5,110 reviews,18.1,N/A,https://www.booking.com/hotel/us/baymont-inn-suites-miami.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Days Inn by Wyndham Miami Airport North,"Miami Springs, Miami",NA,Review score,6.2,"4,408 reviews",9.2,N/A,https://www.booking.com/hotel/us/days-inn-miami-airport-north.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Anselmo Brickell Apartments,"Little Havana, Miami",NA,Very good,8.5,4 reviews,1.8,N/A,https://www.booking.com/hotel/us/anselmo-brickell-apartments.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Comfort Inn & Suites Downtown Brickell-Port of Miami,"Brickell, Miami",NA,Good,7.6,"4,484 reviews",N/A,N/A,https://www.booking.com/hotel/us/river-park-suites-miami.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
WoodSpring Suites Doral Miami Airport,Miami,NA,Good,7.1,931 reviews,13.4,N/A,https://www.booking.com/hotel/us/woodspring-suites-doral-miami-airport.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
Miami River Inn by Renzzi,"Little Havana, Miami",NA,Good,7.0,88 reviews,0.9,N/A,https://www.booking.com/hotel/us/selina-miami-river-inn.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
The Biscayne Hotel,"Mimo, Miami",NA,Good,7.6,953 reviews,7.4,N/A,https://www.booking.com/hotel/us/the-biscayne-miami3.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9taWFtaUgzWARoR4gBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCsL3WvgbAAgHSAiQxNmM4MzJlNi0yODI3LTQzYWItODRhZC02ODdlN2I3ZTQzYTPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=dae66dd8ffe60783&srepoch=1742053041&from=searchresults
